0.01,0.8202,0.8149,0.8219
0.03,0.6231,0.6342,0.6458
0.05,0.5111,0.5341,0.5580
0.07,0.4536,0.4670,0.5118
0.09,0.3817,0.4353,0.4513
0.11,0.3366,0.3928,0.4125
0.13,0.2951,0.3690,0.3830
0.15,0.2688,0.3475,0.3798
0.17,0.2409,0.3226,0.3539
0.2,0.2090,0.2943,0.3441
0.1,0.1658,0.2512,0.2906
0.1,0.3686,0.4229,0.4460
0.02,0.7187,0.7131,0.7289
0.02,0.3344,0.3810,0.3922
0.02,0.3303,0.4004,0.4349
