[80, 192, 184, 40, 85, 85, 85, 106, 149, 100, 85, 205, 75, 185, 185, 185, 66, 56, 207, 66, 45, 85, 66, 80, 99, 105, 185, 56, 40, 85, 149, 85, 85, 121, 140, 126, 66, 85, 40, 207, 85, 137, 85, 116, 185, 37, 66, 56, 72, 185, 56, 54, 44, 116, 40, 49, 85, 185, 85, 66, 37, 66, 64, 80, 66, 23, 85, 70, 85, 139, 235, 185, 85, 112, 100, 184, 235, 85, 80, 85, 125, 72, 66, 85, 66, 66, 184, 180, 78, 129, 85, 142, 110, 78, 235, 137, 56, 207, 85, 85]
Average length: 105.47
LRUCache Hit Rate: 36.80%
DBLCache Hit Rate: 36.64%

  0%|          | 0/100 [00:00<?, ?it/s]
100%|██████████| 100/100 [00:00<00:00, 2979.01it/s]
Step 72 ARCCache T1: 641, T2: 392, B1: 392, B2: 0, p: 0
Step 73 ARCCache T1: 641, T2: 392, B1: 392, B2: 0, p: 0
Step 74 ARCCache T1: 641, T2: 392, B1: 392, B2: 0, p: 0
Step 75 ARCCache T1: 641, T2: 392, B1: 392, B2: 0, p: 0
Step 76 ARCCache T1: 641, T2: 392, B1: 392, B2: 0, p: 0
Step 77 ARCCache T1: 406, T2: 627, B1: 392, B2: 0, p: 0
Step 78 ARCCache T1: 406, T2: 627, B1: 392, B2: 0, p: 0
Step 79 ARCCache T1: 326, T2: 707, B1: 392, B2: 0, p: 80
Step 80 ARCCache T1: 326, T2: 707, B1: 392, B2: 0, p: 80
Step 81 ARCCache T1: 326, T2: 707, B1: 517, B2: 0, p: 80
Step 82 ARCCache T1: 326, T2: 707, B1: 589, B2: 0, p: 80
Step 83 ARCCache T1: 326, T2: 707, B1: 589, B2: 0, p: 80
Step 84 ARCCache T1: 326, T2: 707, B1: 589, B2: 0, p: 80
Step 85 ARCCache T1: 326, T2: 707, B1: 589, B2: 0, p: 80
Step 86 ARCCache T1: 326, T2: 707, B1: 589, B2: 0, p: 80
Step 87 ARCCache T1: 197, T2: 836, B1: 534, B2: 55, p: 258
Step 88 ARCCache T1: 259, T2: 774, B1: 652, B2: 117, p: 258
Step 89 ARCCache T1: 259, T2: 774, B1: 730, B2: 117, p: 258
Step 90 ARCCache T1: 259, T2: 774, B1: 774, B2: 117, p: 258
Step 91 ARCCache T1: 259, T2: 774, B1: 774, B2: 117, p: 258
Step 92 ARCCache T1: 259, T2: 774, B1: 774, B2: 117, p: 258
Step 93 ARCCache T1: 259, T2: 774, B1: 774, B2: 117, p: 258
Step 94 ARCCache T1: 259, T2: 774, B1: 774, B2: 117, p: 258
Step 95 ARCCache T1: 259, T2: 774, B1: 774, B2: 117, p: 258
Step 96 ARCCache T1: 259, T2: 774, B1: 774, B2: 117, p: 258
Step 97 ARCCache T1: 203, T2: 830, B1: 830, B2: 61, p: 0
Step 98 ARCCache T1: 203, T2: 830, B1: 830, B2: 61, p: 0
Step 99 ARCCache T1: 203, T2: 830, B1: 830, B2: 61, p: 0
Step 100 ARCCache T1: 203, T2: 830, B1: 830, B2: 61, p: 0
ARCCache Hit Rate: 42.20%
